userid,courseid,num_video_views,num_quiz_attempts,num_assignments_submitted,num_grade_views,num_total_events,first_time,last_time,duration_days
6968,0,0,0,0,0,5,2022-09-08 20:39:10,2022-09-08 20:40:08,1
6968,1,0,0,0,1,1,2022-09-08 20:39:39,2022-09-08 20:39:39,1
7101,0,0,0,0,0,55,2022-11-07 09:58:35,2023-01-09 09:38:17,63
7101,1,0,0,0,14,14,2022-11-07 09:58:54,2023-01-09 09:38:23,63
7101,1502,0,0,0,0,1,2022-11-14 14:55:33,2022-11-14 14:55:33,1
7101,1519,1,0,0,0,3,2022-12-15 09:39:21,2022-12-15 09:39:52,1
7101,2187,0,0,0,0,3,2022-12-14 09:25:24,2023-01-09 09:38:22,27
7101,2188,0,76,2,0,83,2022-12-14 09:25:38,2023-01-09 09:38:22,27
7101,2192,0,0,22,0,34,2022-11-29 17:41:27,2022-12-20 07:53:09,21
7101,2605,0,0,0,0,2,2022-12-05 10:09:56,2022-12-15 09:49:45,10
7101,2932,0,0,8,0,15,2022-11-07 09:58:58,2022-11-14 14:53:06,8
7148,0,0,0,0,0,4,2022-11-28 02:39:18,2022-12-15 17:39:22,18
7148,1198,0,0,0,0,1,2022-12-15 17:39:48,2022-12-15 17:39:48,1
7148,1883,4,0,0,0,6,2022-11-28 02:39:43,2022-12-15 17:41:03,18
7148,1885,0,0,0,0,1,2022-11-28 02:39:42,2022-11-28 02:39:42,1
7148,2407,0,0,0,0,1,2022-11-28 02:39:40,2022-11-28 02:39:40,1
7161,0,0,0,0,0,8,2022-09-14 06:22:12,2022-11-15 14:14:02,63
7161,1878,0,0,0,0,1,2022-11-04 15:16:00,2022-11-04 15:16:00,1
7161,1879,0,0,0,0,2,2022-09-14 06:22:51,2022-10-16 15:00:11,33
7161,1883,7,0,0,0,14,2022-09-14 06:22:33,2022-11-15 14:15:13,63
7162,0,0,0,0,0,95,2022-09-15 07:19:07,2023-01-19 15:10:53,127
7162,1,0,0,0,10,10,2022-10-03 08:17:39,2023-01-19 15:10:57,109
7162,816,4,0,12,0,38,2022-09-28 07:53:09,2022-11-24 14:33:56,58
7162,846,0,0,0,0,11,2022-09-28 07:50:05,2022-12-24 14:06:48,88
7162,1719,0,0,0,0,8,2022-10-04 13:03:01,2022-11-24 14:35:10,52
7162,2356,0,0,0,0,5,2022-09-28 07:50:50,2022-11-24 14:33:56,58
7162,2358,8,0,6,0,25,2022-09-28 07:50:43,2022-11-11 12:36:51,45
7162,2359,11,0,0,0,19,2022-09-28 07:50:14,2022-12-19 12:27:25,83
7162,3094,10,0,12,0,40,2022-10-18 15:01:40,2022-11-17 15:12:13,31
7191,0,0,0,0,0,82,2022-09-05 13:18:51,2023-01-17 16:23:34,135
7191,1816,0,0,0,0,6,2022-09-05 13:19:06,2022-09-11 08:07:35,6
7191,1817,0,0,0,0,1,2022-09-05 13:19:10,2022-09-05 13:19:10,1
7191,1818,0,0,0,0,3,2022-09-05 13:18:58,2022-09-15 15:02:38,11
7191,1822,0,0,0,0,5,2022-09-05 13:19:07,2022-09-11 08:00:55,6
7191,1823,0,0,0,0,1,2022-09-05 13:19:13,2022-09-05 13:19:13,1
7191,1827,0,0,29,0,48,2022-09-05 13:19:01,2023-01-10 14:53:17,128
7191,1828,0,0,8,0,15,2022-09-05 13:19:09,2023-01-02 11:28:30,119
7191,1829,0,0,0,0,1,2022-09-05 13:19:12,2022-09-05 13:19:12,1
7191,1830,24,0,0,0,61,2022-09-05 13:19:15,2022-12-19 13:39:59,106
7191,2331,1,0,23,0,40,2023-01-09 18:11:41,2023-01-17 16:23:35,8
7192,0,0,0,0,0,76,2022-09-13 08:27:31,2022-12-19 15:11:45,98
7192,816,7,0,18,0,50,2022-09-26 16:15:26,2022-11-16 19:03:26,52
7192,1719,0,0,0,0,1,2022-10-03 08:09:45,2022-10-03 08:09:45,1
7192,2356,0,0,0,0,5,2022-09-26 17:49:39,2022-10-03 09:41:39,7
7192,2358,9,0,20,0,53,2022-10-03 08:09:38,2022-11-23 18:28:25,52
7192,2359,21,0,0,0,36,2022-10-04 07:10:42,2022-12-19 15:11:46,77
7192,2360,0,0,0,0,3,2022-10-29 13:07:24,2022-11-28 07:19:55,30
7192,3094,8,0,2,0,25,2022-09-26 16:14:05,2022-11-29 16:07:37,64
7246,0,0,0,0,0,76,2022-09-13 07:32:11,2023-01-14 12:57:47,124
7246,815,8,0,0,0,17,2022-10-25 08:18:24,2022-10-27 14:13:54,3
7246,972,4,0,0,0,7,2022-11-16 09:41:34,2022-12-20 20:51:13,35
7246,2306,4,0,7,0,19,2022-10-21 09:08:20,2023-01-14 12:57:48,86
7246,2307,1,0,0,0,3,2022-09-29 16:15:19,2022-10-11 15:01:25,12
7246,3014,0,0,0,0,1,2022-12-01 18:59:25,2022-12-01 18:59:25,1
7246,3094,17,0,47,0,106,2022-10-11 15:01:39,2022-12-13 11:45:02,63
7267,0,0,0,0,0,93,2022-09-06 19:24:05,2022-11-24 12:41:02,79
7267,42,11,2,4,1,33,2022-09-06 19:28:15,2022-10-06 07:46:12,30
7267,591,15,0,22,5,75,2022-09-08 09:11:30,2022-11-04 11:17:11,58
7267,670,0,0,22,9,60,2022-09-06 19:26:24,2022-10-28 22:08:51,53
7267,1041,3,0,0,1,17,2022-09-08 09:11:10,2022-10-11 06:07:57,33
7267,1688,1,0,0,2,12,2022-09-06 19:27:16,2022-09-20 15:34:53,14
7267,1694,0,0,36,7,66,2022-09-06 19:24:23,2022-10-05 07:36:41,29
7267,1695,0,0,2,2,14,2022-09-06 19:25:46,2022-10-05 07:36:59,29
7267,2813,0,7,18,2,39,2022-09-08 09:10:15,2022-10-06 07:44:31,28
7297,0,0,0,0,0,41,2022-10-03 16:51:59,2023-01-03 10:24:43,92
7297,963,0,0,0,0,12,2022-10-03 16:52:08,2022-10-27 20:12:00,25
7297,2285,0,0,0,0,2,2022-10-19 08:19:47,2022-11-07 18:38:55,20
7297,2307,4,0,0,0,7,2022-10-19 08:19:07,2022-11-12 10:01:03,25
7297,2308,12,0,0,0,19,2022-10-19 08:18:44,2022-12-27 11:01:46,70
7297,2783,0,0,0,0,1,2022-10-19 08:20:01,2022-10-19 08:20:01,1
7297,3017,11,0,4,0,28,2022-10-19 08:19:25,2023-01-03 10:24:51,77
7303,0,0,0,0,0,7,2022-12-05 19:50:14,2023-01-11 12:56:38,37
7303,2722,0,0,6,0,6,2023-01-11 12:51:52,2023-01-11 12:54:34,1
7314,0,0,0,0,0,130,2022-09-08 09:09:50,2023-01-24 20:18:01,139
7314,1,0,0,0,1,3,2022-11-24 12:16:23,2023-01-06 08:00:08,43
7314,827,3,0,6,4,21,2022-10-24 15:58:56,2023-01-19 19:45:21,88
7314,842,14,0,0,0,33,2022-09-08 09:10:25,2022-11-13 09:15:33,67
7314,847,3,0,4,3,22,2022-09-24 09:43:01,2023-01-06 08:04:13,104
7314,933,0,0,0,0,1,2022-09-09 08:25:02,2022-09-09 08:25:02,1
7314,1727,11,0,28,0,85,2022-11-12 08:21:06,2023-01-24 20:20:44,74
7314,2733,10,0,0,0,57,2022-09-24 06:01:45,2023-01-05 07:45:28,104
7314,2734,11,20,21,2,90,2022-10-14 07:23:03,2023-01-22 20:15:21,101
7314,2735,0,0,0,0,1,2022-11-12 08:20:55,2022-11-12 08:20:55,1
7314,2736,6,0,0,0,11,2022-10-12 15:11:20,2023-01-14 18:22:07,95
7324,0,0,0,0,0,8,2023-01-14 16:25:42,2023-01-22 15:52:05,8
7324,1198,0,0,0,0,1,2023-01-14 16:36:45,2023-01-14 16:36:45,1
7324,1216,0,0,0,0,1,2023-01-22 14:55:37,2023-01-22 14:55:37,1
7324,1883,3,0,0,0,5,2023-01-14 16:26:01,2023-01-14 16:33:29,1
7324,2407,0,0,0,0,1,2023-01-14 16:25:49,2023-01-14 16:25:49,1
7351,0,0,0,0,0,1,2023-01-11 12:50:43,2023-01-11 12:50:43,1
7351,2722,0,0,3,0,3,2023-01-11 12:50:43,2023-01-11 12:50:43,1
7376,0,0,0,0,0,26,2022-09-15 09:06:24,2022-12-10 19:32:16,87
7376,1,0,0,0,1,2,2022-09-15 09:08:06,2022-10-24 08:28:09,39
7376,1657,0,0,0,2,4,2022-12-04 22:00:44,2022-12-10 19:34:41,6
7376,2543,0,0,20,2,35,2022-10-24 08:27:02,2022-12-10 19:34:51,48
7376,2989,0,0,0,1,3,2022-12-04 21:57:09,2022-12-05 18:40:24,1
7376,2994,0,0,0,1,4,2022-10-24 08:28:50,2022-12-05 18:40:21,43
7376,2995,0,0,0,1,4,2022-12-04 21:56:52,2022-12-05 18:59:02,1
7376,2997,0,0,4,2,11,2022-12-04 21:56:08,2022-12-10 19:34:23,6
7376,2999,0,0,0,2,6,2022-12-04 21:56:01,2022-12-10 19:33:54,6
