video_views,quiz_done_theory,quiz_done_application,pdf_views,chapter,quiz_score,cluster,cluster_name
3,1,0,2,3,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
1,2,2,0,5,1,0,"Skipper (đi nhanh, ít học)"
3,3,1,4,2,1,1,Newbie (mới bắt đầu)
5,6,3,2,4,3,2,Active learner (học chăm)
5,8,6,4,6,5,2,Active learner (học chăm)
4,3,1,1,1,1,1,Newbie (mới bắt đầu)
1,2,2,0,4,1,0,"Skipper (đi nhanh, ít học)"
4,5,1,3,1,2,2,Active learner (học chăm)
4,4,1,0,6,2,2,Active learner (học chăm)
2,0,0,1,2,1,0,"Skipper (đi nhanh, ít học)"
3,4,0,1,2,2,0,"Skipper (đi nhanh, ít học)"
4,5,1,2,2,1,2,Active learner (học chăm)
5,0,0,0,6,1,1,Newbie (mới bắt đầu)
4,2,1,1,2,1,1,Newbie (mới bắt đầu)
3,4,2,0,6,2,2,Active learner (học chăm)
2,3,1,2,5,1,0,"Skipper (đi nhanh, ít học)"
0,2,2,0,5,1,0,"Skipper (đi nhanh, ít học)"
2,4,2,0,1,3,0,"Skipper (đi nhanh, ít học)"
2,2,1,0,4,1,0,"Skipper (đi nhanh, ít học)"
1,1,1,2,2,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
2,6,2,1,1,3,2,Active learner (học chăm)
0,0,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
5,2,1,3,2,1,1,Newbie (mới bắt đầu)
6,2,0,2,5,2,1,Newbie (mới bắt đầu)
2,1,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
2,3,1,0,5,2,0,"Skipper (đi nhanh, ít học)"
4,3,0,0,5,2,0,"Skipper (đi nhanh, ít học)"
9,5,3,6,3,3,1,Newbie (mới bắt đầu)
1,2,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
6,7,6,1,3,5,2,Active learner (học chăm)
2,1,0,1,1,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,3,0,0,"Skipper (đi nhanh, ít học)"
5,6,3,1,5,3,2,Active learner (học chăm)
0,0,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
1,1,0,3,5,1,0,"Skipper (đi nhanh, ít học)"
3,3,1,0,4,1,0,"Skipper (đi nhanh, ít học)"
1,2,2,0,2,0,0,"Skipper (đi nhanh, ít học)"
5,3,2,3,6,1,1,Newbie (mới bắt đầu)
3,4,2,3,6,2,2,Active learner (học chăm)
7,1,0,1,3,2,1,Newbie (mới bắt đầu)
1,2,2,0,6,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,6,1,0,"Skipper (đi nhanh, ít học)"
4,0,0,2,4,0,1,Newbie (mới bắt đầu)
2,0,0,1,5,0,0,"Skipper (đi nhanh, ít học)"
3,4,2,0,1,3,2,Active learner (học chăm)
8,7,4,3,3,3,2,Active learner (học chăm)
1,0,0,2,1,0,0,"Skipper (đi nhanh, ít học)"
6,1,0,5,1,0,1,Newbie (mới bắt đầu)
9,5,1,9,5,2,1,Newbie (mới bắt đầu)
1,1,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
3,2,2,2,2,2,0,"Skipper (đi nhanh, ít học)"
3,1,1,1,2,1,0,"Skipper (đi nhanh, ít học)"
5,0,0,4,1,1,1,Newbie (mới bắt đầu)
4,2,1,5,5,1,1,Newbie (mới bắt đầu)
2,1,1,1,5,1,0,"Skipper (đi nhanh, ít học)"
4,2,1,2,1,2,1,Newbie (mới bắt đầu)
3,2,0,1,3,1,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,3,1,0,"Skipper (đi nhanh, ít học)"
9,4,1,8,4,2,1,Newbie (mới bắt đầu)
0,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
3,3,2,1,4,2,0,"Skipper (đi nhanh, ít học)"
3,2,0,1,3,1,0,"Skipper (đi nhanh, ít học)"
1,2,1,0,3,1,0,"Skipper (đi nhanh, ít học)"
6,2,0,1,3,2,1,Newbie (mới bắt đầu)
2,2,2,1,4,1,0,"Skipper (đi nhanh, ít học)"
9,9,4,1,5,5,2,Active learner (học chăm)
3,1,0,1,1,0,0,"Skipper (đi nhanh, ít học)"
2,2,0,3,4,1,0,"Skipper (đi nhanh, ít học)"
1,1,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
0,1,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
7,3,1,2,6,3,1,Newbie (mới bắt đầu)
5,10,7,2,5,6,2,Active learner (học chăm)
8,3,0,0,4,3,1,Newbie (mới bắt đầu)
4,2,1,2,2,1,1,Newbie (mới bắt đầu)
2,2,0,1,4,0,0,"Skipper (đi nhanh, ít học)"
2,2,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
5,1,1,4,2,1,1,Newbie (mới bắt đầu)
1,1,1,0,2,0,0,"Skipper (đi nhanh, ít học)"
5,3,2,3,4,2,1,Newbie (mới bắt đầu)
4,6,4,2,1,3,2,Active learner (học chăm)
3,4,1,0,1,1,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,2,0,0,"Skipper (đi nhanh, ít học)"
1,2,2,0,3,2,0,"Skipper (đi nhanh, ít học)"
3,6,0,2,3,2,2,Active learner (học chăm)
1,2,1,1,4,0,0,"Skipper (đi nhanh, ít học)"
0,3,2,0,1,1,0,"Skipper (đi nhanh, ít học)"
3,3,1,0,4,2,0,"Skipper (đi nhanh, ít học)"
1,2,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
3,0,0,2,1,1,0,"Skipper (đi nhanh, ít học)"
3,5,2,0,1,1,2,Active learner (học chăm)
8,7,5,4,6,4,2,Active learner (học chăm)
2,0,0,3,2,1,0,"Skipper (đi nhanh, ít học)"
2,2,1,2,5,0,0,"Skipper (đi nhanh, ít học)"
0,2,1,0,2,0,0,"Skipper (đi nhanh, ít học)"
2,3,2,1,1,1,0,"Skipper (đi nhanh, ít học)"
2,3,2,0,1,1,0,"Skipper (đi nhanh, ít học)"
4,2,1,3,2,1,1,Newbie (mới bắt đầu)
3,2,1,0,5,0,0,"Skipper (đi nhanh, ít học)"
2,1,1,1,3,1,0,"Skipper (đi nhanh, ít học)"
3,4,1,2,4,3,2,Active learner (học chăm)
7,5,2,2,3,2,2,Active learner (học chăm)
6,1,1,3,2,0,1,Newbie (mới bắt đầu)
4,1,0,1,4,0,1,Newbie (mới bắt đầu)
7,3,2,2,4,2,1,Newbie (mới bắt đầu)
3,0,0,3,1,0,0,"Skipper (đi nhanh, ít học)"
4,4,4,0,3,3,2,Active learner (học chăm)
2,1,0,0,4,0,0,"Skipper (đi nhanh, ít học)"
3,4,1,0,2,2,0,"Skipper (đi nhanh, ít học)"
3,1,1,0,2,2,0,"Skipper (đi nhanh, ít học)"
2,2,1,3,5,1,0,"Skipper (đi nhanh, ít học)"
3,2,0,1,2,1,0,"Skipper (đi nhanh, ít học)"
7,1,0,2,2,1,1,Newbie (mới bắt đầu)
2,0,0,1,5,2,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,6,1,0,"Skipper (đi nhanh, ít học)"
2,3,0,2,1,1,0,"Skipper (đi nhanh, ít học)"
6,2,0,5,2,1,1,Newbie (mới bắt đầu)
5,1,0,2,1,2,1,Newbie (mới bắt đầu)
6,1,0,0,3,1,1,Newbie (mới bắt đầu)
2,1,0,3,2,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,0,5,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,1,6,0,0,"Skipper (đi nhanh, ít học)"
1,1,1,0,1,0,0,"Skipper (đi nhanh, ít học)"
9,4,3,2,6,3,1,Newbie (mới bắt đầu)
8,8,3,3,2,3,2,Active learner (học chăm)
1,0,0,2,2,1,0,"Skipper (đi nhanh, ít học)"
2,0,0,1,5,0,0,"Skipper (đi nhanh, ít học)"
4,6,1,2,3,1,2,Active learner (học chăm)
4,4,3,4,1,2,2,Active learner (học chăm)
6,4,0,4,1,2,1,Newbie (mới bắt đầu)
1,2,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
2,1,0,0,5,1,0,"Skipper (đi nhanh, ít học)"
2,1,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
2,1,0,2,1,1,0,"Skipper (đi nhanh, ít học)"
4,4,3,3,6,3,2,Active learner (học chăm)
4,2,1,2,2,1,1,Newbie (mới bắt đầu)
7,4,2,5,5,3,1,Newbie (mới bắt đầu)
3,0,0,2,2,0,0,"Skipper (đi nhanh, ít học)"
1,2,1,0,3,2,0,"Skipper (đi nhanh, ít học)"
3,2,1,2,6,1,1,Newbie (mới bắt đầu)
5,5,2,2,6,3,2,Active learner (học chăm)
3,0,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
4,8,5,1,4,4,2,Active learner (học chăm)
1,2,1,0,2,1,0,"Skipper (đi nhanh, ít học)"
3,0,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
1,2,1,1,3,2,0,"Skipper (đi nhanh, ít học)"
2,2,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
3,3,0,1,6,2,0,"Skipper (đi nhanh, ít học)"
1,1,1,0,1,0,0,"Skipper (đi nhanh, ít học)"
3,0,0,5,2,0,1,Newbie (mới bắt đầu)
2,0,0,2,4,1,0,"Skipper (đi nhanh, ít học)"
3,4,3,1,3,2,2,Active learner (học chăm)
3,1,0,3,2,0,1,Newbie (mới bắt đầu)
3,1,1,0,3,0,0,"Skipper (đi nhanh, ít học)"
1,0,0,0,1,0,0,"Skipper (đi nhanh, ít học)"
1,0,0,1,3,0,0,"Skipper (đi nhanh, ít học)"
1,1,1,2,6,0,0,"Skipper (đi nhanh, ít học)"
0,0,0,0,5,1,0,"Skipper (đi nhanh, ít học)"
1,0,0,1,2,0,0,"Skipper (đi nhanh, ít học)"
2,0,0,0,6,1,0,"Skipper (đi nhanh, ít học)"
4,1,1,2,5,1,1,Newbie (mới bắt đầu)
3,4,2,1,2,3,2,Active learner (học chăm)
4,6,3,0,6,3,2,Active learner (học chăm)
1,1,0,2,3,0,0,"Skipper (đi nhanh, ít học)"
2,1,0,2,6,2,0,"Skipper (đi nhanh, ít học)"
6,3,2,1,3,3,1,Newbie (mới bắt đầu)
2,2,1,1,1,1,0,"Skipper (đi nhanh, ít học)"
1,5,4,0,1,2,2,Active learner (học chăm)
0,9,4,0,4,3,2,Active learner (học chăm)
7,3,0,1,1,1,1,Newbie (mới bắt đầu)
2,1,0,0,4,1,0,"Skipper (đi nhanh, ít học)"
2,1,0,3,2,0,0,"Skipper (đi nhanh, ít học)"
0,3,2,0,1,1,0,"Skipper (đi nhanh, ít học)"
2,1,0,1,4,1,0,"Skipper (đi nhanh, ít học)"
0,3,2,0,3,1,0,"Skipper (đi nhanh, ít học)"
4,4,3,2,1,3,2,Active learner (học chăm)
2,4,2,1,1,2,0,"Skipper (đi nhanh, ít học)"
1,3,2,0,4,3,0,"Skipper (đi nhanh, ít học)"
0,2,2,0,1,3,0,"Skipper (đi nhanh, ít học)"
4,2,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
3,1,0,0,6,0,0,"Skipper (đi nhanh, ít học)"
2,1,0,2,2,0,0,"Skipper (đi nhanh, ít học)"
0,1,1,0,5,1,0,"Skipper (đi nhanh, ít học)"
3,1,1,1,2,1,0,"Skipper (đi nhanh, ít học)"
6,3,2,3,6,1,1,Newbie (mới bắt đầu)
2,4,2,0,2,2,0,"Skipper (đi nhanh, ít học)"
4,3,3,1,5,2,2,Active learner (học chăm)
3,1,0,0,6,1,0,"Skipper (đi nhanh, ít học)"
5,2,1,0,2,1,1,Newbie (mới bắt đầu)
3,2,2,3,1,1,1,Newbie (mới bắt đầu)
7,3,1,5,2,1,1,Newbie (mới bắt đầu)
6,2,2,2,4,1,1,Newbie (mới bắt đầu)
0,2,1,0,3,1,0,"Skipper (đi nhanh, ít học)"
6,5,4,0,6,3,2,Active learner (học chăm)
6,3,2,4,2,2,1,Newbie (mới bắt đầu)
3,1,0,0,1,1,0,"Skipper (đi nhanh, ít học)"
1,2,2,1,1,1,0,"Skipper (đi nhanh, ít học)"
9,6,2,7,2,2,1,Newbie (mới bắt đầu)
4,0,0,0,2,1,0,"Skipper (đi nhanh, ít học)"
2,2,0,1,2,1,0,"Skipper (đi nhanh, ít học)"
